eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1664;5;22;9;15;;-14.1;-75.85;15;7.5;Mw;sara
;CERES995;SARA;1668;8;10;0;0;0;0.3;-78.2;;5.42;Mw;sara
;CERES995;SARA;1673;12;8;8;30;0;9.33;-70.64;;4.93;Mw;sara
;PALAL005;SARA;1674;3;16;;;;8.95;-70.8;;7.4;Mw;sara
;BEAAL013;SARA;1674;8;29;;;;-1.67;-79.05;;6.45;Mw;sara
;CERES995;SARA;1678;1;5;6;30;0;-0.22;-78.5;;4.95;Mw;sara
;CERES995;SARA;1678;6;16;1;45;;-12.3;-77.8;40;7.85;Mw;sara
;CERES995;SARA;1681;3;10;;;;-18.5;-70.35;;7.26;Mw;sara
;CERES995;SARA;1684;5;5;0;30;0;10.47;-64.17;;5.53;Mw;sara
;CERES995;SARA;1687;1;28;0;0;0;-12.582;-74.552;20;6.52;Mw;sara
;CERES995;SARA;1687;4;1;5;0;0;-12.3;-77.2;;6.23;Mw;sara
;CERES995;SARA;1687;7;12;7;;;-32.75;-70.73;;7.26;Mw;sara
;CERES995;SARA;1687;10;20;9;15;0;-11.35;-78.2;70;6.02;Mw;sara
;CERES995;SARA;1687;10;20;11;30;;-15.2;-75.9;28;8.4;Mw;sara
;CERES995;SARA;1687;11;22;0;0;0;-15.199;-75.9;;6.23;Mw;sara
;BEAAL013;SARA;1687;11;22;;;;-1.25;-78.42;;6.25;Mw;sara
;CERES995;SARA;1688;10;10;21;30;0;-12.08;-77;;6.23;Mw;sara
;CERES995;SARA;1690;7;9;0;0;0;-33.399;-70.599;;6.8;Mw;sara
;CERES995;SARA;1690;11;20;19;30;;-12.55;-77;40;7.21;Mw;sara
;FUN014;SARA;1691;;;;;;8.4;-71.6;;4.93;Mw;sara
;CERES995;SARA;1692;9;13;11;;;-25.4;-64.8;30;7.01;Mw;sara
;CERES995;SARA;1696;7;14;9;;;-12.8;-77.7;20;6.71;Mw;sara
;CERES995;SARA;1696;;;;;;1.2;-77.2;;6.32;Mw;sara
;CERES995;SARA;1697;9;29;13;30;;-12.3;-77.4;30;7.31;Mw;sara
;BEAAL010;SARA;1698;6;20;;;;-1.4;-78.8;;7.3;Mw;sara
;CERES995;SARA;1698;6;28;11;0;0;-1;-78.299;;5.89;Mw;sara
;CERES995;SARA;1699;7;14;9;;;-11.8;-77.5;40;6.52;Mw;sara
;CERES995;SARA;1703;3;0;0;0;0;-0.9;-78.65;;5.89;Mw;sara
;CERES995;SARA;1703;;;;;;10.5;-66.92;;4.93;Mw;sara
;CERES995;SARA;1707;9;18;5;0;0;-13.9;-72.099;10;5.96;Mw;sara
